episode,timestep,reward
33,2000,-17.0485
66,4000,-16.2909
99,6000,-18.7788
133,8000,-16.8235
166,10000,-18.2667
199,12000,-16.4697
233,14000,-16.5088
266,16000,-17.3667
299,18000,-16.2
333,20000,-17.7
366,22000,-17.7242
399,24000,-17.4364
433,26000,-17.9765
466,28000,-15.0909
499,30000,-15.7273
533,32000,-15.8824
566,34000,-17.2273
599,36000,-15.8455
633,38000,-16.7294
666,40000,-16.9697
699,42000,-15.0394
733,44000,-16.1088
766,46000,-15.3545
799,48000,-15.0576
833,50000,-15.8676
866,52000,-15.6636
899,54000,-15.8273
933,56000,-16.5118
966,58000,-15.8394
999,60000,-15.2576
1033,62000,-15.5412
1066,64000,-14.7424
1099,66000,-16.5515
1133,68000,-14.75
1166,70000,-15.9818
1199,72000,-15.3515
1233,74000,-15.4559
1266,76000,-14.9364
1299,78000,-15.8273
1333,80000,-15.6206
1366,82000,-15.0455
