episode,timestep,reward
199,20000,-31.9381
399,40000,-31.2863
599,60000,-32.3545
799,80000,-31.4292
999,100000,-30.9229
1199,120000,-31.5496
1399,140000,-31.3295
1599,160000,-31.4629
